,0
장범준,흔들리는 꽃들 속에서 네 샴푸향이 느껴진거야
방탄소년단,봄날
태연 (TAEYEON),Weekend
조정석,아로하
MSG워너비(M.O.M),바라만 본다
이무진,비와 당신
aespa,Black Mamba
거미,지금 말해볼게요 (낮에 뜨는 달 X 거미)
SG워너비,우리의 노래
헤이즈(Heize),헤픈 우연
TWICE (트와이스),Alcohol-Free
Ed Sheeran(에드 시런),Bad Habits
원슈타인,밤이 되니까
MSG워너비(정상동기),체념
DAY6 (Even of Day),뚫고 지나가요
조이 (JOY),안녕 (Hello)
브레이브걸스(Brave Girls),운전만해 (We Ride)
STAYC(스테이씨),ASAP
오마이걸(OH MY GIRL),Dolphin
MSG워너비,난 너를 사랑해
빅마마(Big Mama),하루만 더
아이유(IU),밤편지
에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래 (Feat. Colde)
디핵(D-Hack),OHAYO MY NIGHT
San E(산이),한여름밤의 꿀 : 다시 여름
The Kid LAROI,Stay
Justin Bieber(저스틴 비버),Off My Face
브라운 아이즈(Brown Eyes),벌써 일년
2PM,우리집
런치,Way Back Home (2021)
Doja Cat(도자 캣),Kiss Me More (feat. SZA)
"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",상상더하기
라붐(LABOUM),아로아로
Sam Ryder,Tiny Riot
Peder Elias,Loving You Girl (feat. Hkeem)
Jawsh 685,Savage Love (Laxed - Siren Beat) (BTS Remix)
호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
프로미스나인,WE GO
Marshmello(마시멜로),Leave Before You Love Me
백지영,다시 사랑할 수 있을까
NCT DREAM,오르골 (Life Is Still Going On)
딘딘 (DINDIN),사랑하지 말걸 그랬나 봐요
김민석 (멜로망스),나비가 날았습니다
오반 (OVAN),허리춤
로꼬,러브 (Prod. 로코베리)
김대명,가을 우체국 앞에서
ITZY (있지),마.피.아. In the morning
경서예지,다정히 내 이름을 부르면
Bruno Mars(브루노 마스),Leave The Door Open
BLACKPINK,Lovesick Girls
ASH ISLAND,잡아줄게 (Prod. GroovyRoom)
AKMU (악동뮤지션),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
10CM,서울의 잠 못 이루는 밤 (Feat. 이수현)
임영웅,이제 나만 믿어요
청하,내 입술 따뜻한 커피처럼
경서,밤하늘의 별을(2020)
로제(ROSÉ),On The Ground
전소연,삠삠 (BEAM BEAM)
Anne-Marie(앤 마리),2002
황린,Piano Man
Maroon 5(마룬 파이브),Beautiful Mistakes
John K,parachute
송이한,밝게 빛나는 별이 되어 비춰줄게
세븐틴(SEVENTEEN),Ready to love
PATEKO (파테코),"Rainy day (Feat. ASH ISLAND, Skinny Brown)"
양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
