name , title
MSG워너비(M.O.M),바라만 본다
aespa,Next Level
이무진,비와 당신
방탄소년단,봄날
태연 (TAEYEON),Weekend
헤이즈 (Heize),헤픈 우연
브레이브걸스,운전만해 (We Ride)
오마이걸 (OH MY GIRL),살짝 설렜어 (Nonstop)
Justin Bieber,Off My Face
MSG워너비(정상동기),체념
TWICE (트와이스),Alcohol-Free
조정석,아로하
아이유,Love poem
STAYC(스테이씨),ASAP
빅마마,하루만 더
조이 (JOY),안녕 (Hello)
"MSG워너비 TOP 8 (별루지, 김정수, 강창모, 정기석, 이동휘, 이상이, 박재정, 원슈타인)",상상더하기
호미들,"사이렌 Remix (Feat. UNEDUCATED KID, Paul Blanco)"
라붐 (LABOUM),상상더하기
SG 워너비,살다가
ASH ISLAND,멜로디
송이한,밝게 빛나는 별이 되어 비춰줄게
디핵 (D-Hack),OHAYO MY NIGHT
Jawsh 685,Savage Love (Laxed - Siren Beat) (BTS Remix)
경서,밤하늘의 별을(2020)
BLACKPINK,How You Like That
양요섭,"LOVE DAY (2021) (바른연애 길잡이 X 양요섭, 정은지)"
MSG워너비,난 너를 사랑해
에픽하이 (EPIK HIGH),비 오는 날 듣기 좋은 노래 (Feat. Colde)
장범준,추적이는 여름 비가 되어
정동하,추억은 만남보다 이별에 남아
ITZY (있지),마.피.아. In the morning
산들,취기를 빌려 (취향저격 그녀 X 산들)
경서예지,사실 나는 (Feat.전건호)
AKMU (악동뮤지션),"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지"
Anne-Marie,2002
미란이 (Mirani),VVS (Feat. JUSTHIS) (Prod. GroovyRoom)
로제 (ROSÉ),On The Ground
이예준,그날에 나는 맘이 편했을까
창모 (CHANGMO),METEOR
Etham,12:45 (Stripped)
김대명,가을 우체국 앞에서
적재,나랑 같이 걸을래 (바른연애 길잡이 X 적재)
폴킴,너를 만나
백지영,다시 사랑할 수 있을까
로꼬,러브(Prod.로코베리)
오반 (OVAN),허리춤
Ed Sheeran,Bad Habits
#안녕,너의 번호를 누르고 (Prod. 영화처럼)
스탠딩 에그,오래된 노래
Maroon 5,Memories
마크툽 (MAKTUB),오늘도 빛나는 너에게 (To You My Light) (Feat.이라온)
Colde (콜드),또 새벽이 오면 (Feat. 백현 (BAEKHYUN))
임영웅,이제 나만 믿어요
노을,늦은 밤 너의 집 앞 골목길에서
다비치,그냥 안아달란 말야
10CM,이 밤을 빌려 말해요 (바른연애 길잡이 X 10CM)
Tones And I,Dance Monkey
런치,Way Back Home (2021)
임창정,힘든 건 사랑이 아니다
CHEEZE (치즈),이렇게 좋아해 본 적이 없어요
San E,한여름밤의 꿀 : 다시 여름
Lauv,Paris In The Rain
케이시 (Kassy),너의 발걸음에 빛을 비춰줄게 (Prod. 조영수)
Dua Lipa,Don't Start Now
전상근,오늘따라 더 미운 그대가
거미,지금 말해볼게요 (낮에 뜨는 달 X 거미)
